 will to register next: {'params': {'mgs': 70.78901784601725, 'mrc': 0.060887430541094446, 'pd': 0.9808718839213465, 'pr': 0.22734122476723606}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 40.21895067779748, 'mrc': 0.03423379817600313, 'pd': 0.9543821530412133, 'pr': 0.24195819651652475}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 2.3599208796892768, 'mrc': 0.050897863233892504, 'pd': 0.9641892205253135, 'pr': 0.08577860252305368}, 'target': 29.09090909090909}.
 will to register next: {'params': {'mgs': 77.60731667262347, 'mrc': 0.02061280654283606, 'pd': 0.935448020951744, 'pr': 0.09105644300232522}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 78.07221693914113, 'mrc': 0.09437159536661972, 'pd': 0.9074630963904095, 'pr': 0.12998483149472312}, 'target': 29.09090909090909}.
 will to register next: {'params': {'mgs': 64.3804861015951, 'mrc': 0.06360220502930664, 'pd': 0.9811525494593475, 'pr': 0.14692106573208719}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 30.312647012934022, 'mrc': 0.004128919969046951, 'pd': 0.919311304060322, 'pr': 0.06325474369245752}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 6.116884972562078, 'mrc': 0.09323385758441012, 'pd': 0.9931027078725418, 'pr': 0.14857658460264567}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 79.05576510627454, 'mrc': 0.07761427331380431, 'pd': 0.9400912182808674, 'pr': 0.22782831814659565}, 'target': 41.81818181818182}.
 will to register next: {'params': {'mgs': 40.740518772227716, 'mrc': 0.0651173721801118, 'pd': 0.9417994268576578, 'pr': 0.10041708153808267}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 30.726595663610247, 'mrc': 0.07774437742849964, 'pd': 0.9764869245019938, 'pr': 0.21237333723769763}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 64.3987697956051, 'mrc': 0.06412718971691304, 'pd': 0.9444966578667934, 'pr': 0.12080457571545687}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 5.6563611705520955, 'mrc': 0.07595549132878457, 'pd': 0.9076013620536777, 'pr': 0.1443484683395786}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 64.32620773864318, 'mrc': 0.050240157614770534, 'pd': 0.9568856313184136, 'pr': 0.1872497077737213}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 70.79523570664476, 'mrc': 0.09522608666039988, 'pd': 0.9984022713565903, 'pr': 0.20322953036839114}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 70.75370053126417, 'mrc': 0.056598461094823596, 'pd': 0.9954221811574391, 'pr': 0.21283075097943965}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 67.30083140108792, 'mrc': 0.08030840025121253, 'pd': 0.9488942418976968, 'pr': 0.25952236071110596}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 64.37232376072083, 'mrc': 0.02786455720026514, 'pd': 0.951020475362772, 'pr': 0.17309824539000995}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 64.41327892607467, 'mrc': 0.0660173862965653, 'pd': 0.9239267972970733, 'pr': 0.1149237539352138}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 5.558300043061255, 'mrc': 0.07352570153284538, 'pd': 0.9974351066817965, 'pr': 0.0878317966736747}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 64.40719306804048, 'mrc': 0.08140666449045052, 'pd': 0.9322135272305637, 'pr': 0.15876105454189682}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 57.62716074086802, 'mrc': 0.010761961951111999, 'pd': 0.9790699800351113, 'pr': 0.288044262868728}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 57.70612998197227, 'mrc': 0.03013497341387479, 'pd': 0.9565469478670995, 'pr': 0.07353377116586084}, 'target': 29.09090909090909}.
