 will to register next: {'params': {'mgs': 77.22802129035486, 'mrc': 0.01862241415864041, 'pd': 0.7081115031538386, 'pr': 0.13136805314880518}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 34.97243768928279, 'mrc': 0.10644344504254351, 'pd': 0.8821770864970199, 'pr': 0.10991340106429741}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 33.50702513738927, 'mrc': 0.06146215594587526, 'pd': 0.9606859204108882, 'pr': 0.15414912301275158}, 'target': 10}.
 will to register next: {'params': {'mgs': 39.199895854595226, 'mrc': 0.08108560017402651, 'pd': 0.5259141921816906, 'pr': 0.19799628368592126}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 39.23908746167026, 'mrc': 0.0406071878952905, 'pd': 0.9290066604172147, 'pr': 0.1242369152453754}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 59.60785880621383, 'mrc': 0.040610752248723396, 'pd': 0.7933238041845623, 'pr': 0.1457709428429677}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 14.936220281752917, 'mrc': 0.18802016290828116, 'pd': 0.5069307024169667, 'pr': 0.19288577670277202}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 71.45422155839441, 'mrc': 0.13151226405183686, 'pd': 0.8946045868163766, 'pr': 0.09743107352604914}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 3.5140947534945433, 'mrc': 0.13542427018476375, 'pd': 0.6714801217271972, 'pr': 0.1677628566728075}, 'target': 10}.
 will to register next: {'params': {'mgs': 33.95179157794091, 'mrc': 0.14652307073844228, 'pd': 0.8713407640064588, 'pr': 0.13584095027726878}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 47.679795572700385, 'mrc': 0.003256141469924501, 'pd': 0.7698258584255364, 'pr': 0.1466594273882894}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 10.293587431605609, 'mrc': 0.07993178902220147, 'pd': 0.7964549149791402, 'pr': 0.17868811886471964}, 'target': 10}.
 will to register next: {'params': {'mgs': 34.02280242437101, 'mrc': 0.1752719834697575, 'pd': 0.8856749376650597, 'pr': 0.29006008688332297}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 77.56094842353859, 'mrc': 0.062040719425898776, 'pd': 0.9452393871651248, 'pr': 0.27096895214526495}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 75.95752913129958, 'mrc': 0.04762561873558849, 'pd': 0.7731289400375921, 'pr': 0.14227447412497746}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 32.49666676203723, 'mrc': 0.09511014065844015, 'pd': 0.5457404703324151, 'pr': 0.20380081147671014}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 72.64931104276152, 'mrc': 0.07287227342899157, 'pd': 0.8208418212786355, 'pr': 0.06948570581598491}, 'target': 10.909090909090908}.
